Person,Gender,Race
Alonzo,male,African-American
Jamel,male,African-American
Alphonse,male,African-American
Jerome,male,African-American
Leroy,male,African-American
Torrance,male,African-American
Darnell,male,African-American
Lamar,male,African-American
Malik,male,African-American
Terrence,male,African-American
Adam,male,European
Harry,male,European
Josh,male,European
Roger,male,European
Alan,male,European
Frank,male,European
Justin,male,European
Ryan,male,European
Andrew,male,European
Jack,male,European
Nichelle,female,African-American
Shereen,female,African-American
Ebony,female,African-American
Latisha,female,African-American
Shaniqua,female,African-American
Jasmine,female,African-American
Tanisha,female,African-American
Tia,female,African-American
Lakisha,female,African-American
Latoya,female,African-American
Amanda,female,European
Courtney,female,European
Heather,female,European
Melanie,female,European
Katie,female,European
Betsy,female,European
Kristin,female,European
Nancy,female,European
Stephanie,female,European
Ellen,female,European
